trip_id,bus_id,route_id,driver_id,start_time,end_time,passenger_count
T5001,B115,R5,D2,2026-08-20 10:15:00,2026-08-20 10:44:00,8
T5002,B101,R1,D4,2026-08-20 17:07:00,2026-08-20 18:36:00,15
T5003,B116,R2,D7,2026-08-20 12:56:00,2026-08-20 14:18:00,8
T5004,B101,R4,D5,2026-08-20 08:48:00,2026-08-20 09:56:00,55
T5005,B114,R5,D8,2026-08-20 13:45:00,2026-08-20 14:41:00,14
T5006,B107,R1,D10,2026-08-20 09:14:00,2026-08-20 10:11:00,52
T5007,B111,R1,D1,2026-08-20 15:15:00,2026-08-20 15:42:00,42
T5008,B117,R2,D1,2026-08-20 14:08:00,2026-08-20 15:32:00,37
T5009,B103,R5,D2,2026-08-20 07:22:00,2026-08-20 08:05:00,48
T5010,B104,R5,D4,2026-08-20 10:00:00,2026-08-20 11:11:00,42
T5011,B120,R1,D7,2026-08-20 16:08:00,2026-08-20 16:33:00,47
T5012,B111,R3,D4,2026-08-20 15:57:00,2026-08-20 17:23:00,47
T5013,B109,R4,D3,2026-08-20 11:21:00,2026-08-20 12:11:00,47
T5014,B115,R3,D2,2026-08-20 17:00:00,2026-08-20 17:58:00,5
T5015,B103,R5,D4,2026-08-20 13:49:00,2026-08-20 14:21:00,37
T5016,B112,R1,D4,2026-08-20 10:31:00,2026-08-20 11:07:00,28
T5017,B115,R5,D5,2026-08-20 10:51:00,2026-08-20 11:31:00,44
T5018,B101,R5,D5,2026-08-20 17:09:00,2026-08-20 18:36:00,47
T5019,B109,R1,D2,2026-08-20 07:46:00,2026-08-20 08:23:00,52
T5020,B109,R3,D10,2026-08-20 15:26:00,2026-08-20 16:05:00,18
T5021,B109,R5,D8,2026-08-20 11:51:00,2026-08-20 12:37:00,21
T5022,B114,R3,D1,2026-08-20 06:52:00,2026-08-20 07:23:00,5
T5023,B109,R2,D8,2026-08-20 11:41:00,2026-08-20 12:17:00,40
T5024,B104,R1,D3,2026-08-20 13:17:00,2026-08-20 13:38:00,39
T5025,B119,R5,D3,2026-08-20 06:36:00,2026-08-20 07:43:00,32
T5026,B110,R3,D1,2026-08-20 08:10:00,2026-08-20 08:35:00,27
T5027,B104,R3,D9,2026-08-20 09:35:00,2026-08-20 10:26:00,31
T5028,B108,R2,D3,2026-08-20 16:35:00,2026-08-20 17:14:00,31
T5029,B111,R4,D4,2026-08-20 06:25:00,2026-08-20 07:07:00,22
T5030,B113,R1,D8,2026-08-20 08:43:00,2026-08-20 09:16:00,19
T5031,B112,R3,D4,2026-08-20 09:24:00,2026-08-20 10:42:00,19
T5032,B113,R3,D5,2026-08-20 06:24:00,2026-08-20 07:08:00,9
T5033,B117,R4,D9,2026-08-20 10:45:00,2026-08-20 11:49:00,26
T5034,B109,R2,D10,2026-08-20 06:28:00,2026-08-20 07:02:00,21
T5035,B120,R4,D6,2026-08-20 06:39:00,2026-08-20 07:12:00,51
T5036,B120,R5,D2,2026-08-20 11:21:00,2026-08-20 12:36:00,29
T5037,B109,R1,D7,2026-08-20 15:50:00,2026-08-20 16:34:00,5
T5038,B107,R3,D7,2026-08-20 14:52:00,2026-08-20 16:20:00,9
T5039,B120,R3,D2,2026-08-20 17:20:00,2026-08-20 18:22:00,51
T5040,B110,R4,D6,2026-08-20 11:07:00,2026-08-20 12:31:00,30
T5041,B118,R2,D4,2026-08-20 17:53:00,2026-08-20 18:50:00,31
T5042,B106,R5,D10,2026-08-20 17:20:00,2026-08-20 18:28:00,24
T5043,B101,R3,D5,2026-08-20 12:55:00,2026-08-20 14:25:00,18
T5044,B115,R4,D8,2026-08-20 13:20:00,2026-08-20 14:21:00,48
T5045,B116,R2,D2,2026-08-20 09:38:00,2026-08-20 11:03:00,23
T5046,B103,R2,D5,2026-08-20 14:47:00,2026-08-20 15:49:00,19
T5047,B101,R1,D4,2026-08-20 09:23:00,2026-08-20 10:01:00,35
